category,quantity,consumption_rate,days_to_expiry,price_per_unit,stock_level,risk_label
Bakery,165,22.39,11,194.19,165,Safe
Vegetables,154,4.21,17,301.45,154,High Risk
Vegetables,13,19.08,17,336.67,13,Safe
Bakery,101,23.13,22,251.95,101,Safe
Bakery,84,15.79,10,366.13,84,Safe
Dairy,58,19.15,13,161.78,58,Safe
Fruits,74,3.18,6,254.88,74,Moderate Risk
Bakery,184,5.75,17,404.19,184,Moderate Risk
Vegetables,40,8.2,24,210.56,40,Safe
Meat,164,14.49,11,206.25,164,Safe
Fruits,131,6.68,24,96.28,131,Moderate Risk
Bakery,123,8.26,24,327.81,123,Safe
Dairy,132,20.38,28,135.3,132,Safe
Seafood,69,19.95,2,127.33,69,High Risk
Fruits,62,17.0,3,433.01,62,Moderate Risk
Meat,178,4.68,16,42.06,178,High Risk
Meat,113,22.88,16,193.53,113,Safe
Bakery,150,22.75,27,20.29,150,Safe
Bakery,144,6.1,7,296.24,144,Moderate Risk
Vegetables,80,24.59,6,436.69,80,Moderate Risk
Vegetables,162,5.37,12,139.75,162,Moderate Risk
Bakery,183,23.19,28,228.21,183,Safe
Dairy,153,14.88,30,40.72,153,Safe
Meat,48,8.08,22,257.86,48,Safe
Bakery,132,11.71,3,300.3,132,Moderate Risk
Fruits,41,17.71,10,295.7,41,Safe
Seafood,198,14.26,22,483.24,198,Safe
Seafood,134,23.46,13,489.22,134,Safe
Seafood,197,22.53,23,372.72,197,Safe
Vegetables,80,18.02,6,408.81,80,Moderate Risk
Vegetables,19,21.56,14,249.63,19,Safe
Meat,107,23.01,22,127.09,107,Safe
Dairy,44,23.48,30,55.98,44,Safe
Dairy,195,17.77,7,498.87,195,Safe
Vegetables,101,5.52,4,242.85,101,Moderate Risk
Meat,171,12.8,10,283.13,171,Safe
Fruits,186,22.21,30,462.56,186,Safe
Bakery,80,11.62,23,305.22,80,Safe
Seafood,198,19.88,22,121.02,198,Safe
Seafood,104,9.62,23,274.83,104,Safe
Meat,132,9.54,14,495.75,132,Safe
Vegetables,20,22.61,30,387.41,20,Safe
Fruits,101,1.97,13,43.19,101,Moderate Risk
Fruits,90,12.91,11,240.93,90,Safe
Seafood,51,22.15,9,361.42,51,Safe
Seafood,11,23.87,1,21.22,11,High Risk
Dairy,6,1.29,12,314.58,6,Safe
Bakery,95,2.39,16,171.62,95,Moderate Risk
Bakery,154,17.99,10,69.67,154,Safe
Bakery,134,2.15,3,326.35,134,High Risk
Seafood,18,24.58,3,295.06,18,Moderate Risk
Vegetables,191,24.9,2,494.0,191,High Risk
Vegetables,195,12.73,30,455.93,195,Safe
Dairy,93,13.14,30,258.11,93,Safe
Vegetables,120,22.62,14,284.62,120,Safe
Bakery,165,4.77,5,418.8,165,High Risk
Seafood,129,15.92,23,484.99,129,Safe
Bakery,154,19.06,26,74.37,154,Safe
Meat,7,14.01,27,296.81,7,Safe
Dairy,134,9.44,30,41.29,134,Safe
Seafood,112,11.97,4,350.54,112,Moderate Risk
Bakery,102,19.56,12,202.56,102,Safe
Meat,110,20.77,10,429.98,110,Safe
Dairy,109,21.56,3,177.62,109,Moderate Risk
Fruits,76,8.79,26,399.96,76,Safe
Seafood,90,8.21,16,71.77,90,Safe
Meat,182,10.88,15,31.37,182,Safe
Seafood,192,20.92,19,132.68,192,Safe
Meat,44,22.08,17,421.79,44,Safe
Vegetables,138,22.82,13,271.49,138,Safe
Fruits,83,14.95,1,85.81,83,High Risk
Vegetables,10,7.9,23,236.4,10,Safe
Meat,17,15.18,3,18.16,17,Moderate Risk
Vegetables,174,16.86,30,499.18,174,Safe
Meat,70,20.17,29,188.8,70,Safe
Bakery,44,9.53,15,378.79,44,Safe
Meat,36,6.77,8,174.98,36,Safe
Bakery,43,8.23,2,76.71,43,High Risk
Bakery,30,24.21,3,477.69,30,Moderate Risk
Seafood,40,6.87,5,219.76,40,Moderate Risk
Bakery,146,17.03,9,93.16,146,Safe
Vegetables,109,8.66,11,172.28,109,Safe
Meat,47,2.48,2,471.4,47,High Risk
Vegetables,119,15.39,9,214.21,119,Safe
Dairy,175,13.04,29,311.2,175,Safe
Seafood,94,8.24,19,27.02,94,Safe
Meat,177,10.27,17,110.66,177,Safe
Vegetables,27,19.12,13,96.45,27,Safe
Vegetables,5,8.9,18,46.45,5,Safe
Dairy,120,15.03,1,220.67,120,High Risk
Dairy,155,2.53,8,486.59,155,High Risk
Meat,164,21.53,23,231.47,164,Safe
Bakery,114,12.69,17,336.63,114,Safe
Fruits,16,9.93,17,372.32,16,Safe
Dairy,125,14.27,6,414.68,125,Moderate Risk
Seafood,90,13.21,9,118.06,90,Safe
Vegetables,109,17.57,8,434.25,109,Safe
Meat,62,4.3,6,82.86,62,Moderate Risk
Bakery,68,6.39,10,74.65,68,Safe
Dairy,155,6.68,28,309.73,155,Moderate Risk
Dairy,82,18.91,28,276.63,82,Safe
Vegetables,32,21.02,11,319.4,32,Safe
Seafood,78,4.29,23,160.78,78,Safe
Bakery,57,6.21,10,340.76,57,Safe
Fruits,164,18.14,9,302.68,164,Safe
Meat,111,6.27,1,186.52,111,High Risk
Fruits,125,7.81,27,27.42,125,Moderate Risk
Fruits,117,15.96,11,421.37,117,Safe
Bakery,58,3.97,24,100.59,58,Safe
Fruits,95,9.66,19,247.76,95,Safe
Seafood,107,6.16,12,45.0,107,Moderate Risk
Dairy,124,24.31,19,41.96,124,Safe
Vegetables,78,21.04,29,173.49,78,Safe
Dairy,132,14.28,10,420.21,132,Safe
Dairy,182,24.9,3,129.84,182,Moderate Risk
Dairy,74,22.78,11,336.16,74,Safe
Vegetables,117,8.56,22,171.32,117,Safe
Vegetables,97,20.9,24,224.9,97,Safe
Bakery,98,4.13,4,375.8,98,Moderate Risk
Seafood,194,1.17,25,197.19,194,High Risk
Fruits,6,3.46,18,92.49,6,Safe
Dairy,79,2.51,7,496.82,79,Safe
Fruits,138,4.97,28,207.11,138,High Risk
Bakery,82,19.74,16,242.5,82,Safe
Fruits,106,15.31,29,123.78,106,Safe
Seafood,91,18.76,8,255.89,91,Safe
Dairy,58,9.09,19,347.12,58,Safe
Meat,142,22.52,6,279.36,142,Moderate Risk
Bakery,147,11.62,1,69.93,147,High Risk
Seafood,90,21.65,14,189.31,90,Safe
Meat,130,16.27,28,312.26,130,Safe
Bakery,178,5.65,28,172.78,178,Moderate Risk
Vegetables,188,18.03,16,308.95,188,Safe
Seafood,23,4.77,2,28.02,23,High Risk
Meat,135,1.55,27,144.41,135,High Risk
Vegetables,165,23.83,8,187.65,165,Safe
Seafood,76,20.77,3,175.17,76,Moderate Risk
Vegetables,13,21.29,15,305.32,13,Safe
Vegetables,9,20.87,17,491.02,9,Safe
Dairy,162,22.68,14,209.84,162,Safe
Dairy,100,12.75,7,323.34,100,Safe
Meat,151,12.64,24,268.47,151,Safe
Bakery,47,20.13,26,490.16,47,Safe
Fruits,119,16.86,9,309.89,119,Safe
Bakery,101,1.41,12,99.89,101,Moderate Risk
Fruits,32,13.1,22,463.23,32,Safe
Vegetables,22,10.96,20,427.9,22,Safe
Bakery,45,15.22,6,95.01,45,Moderate Risk
Fruits,40,16.87,17,40.03,40,Safe
Bakery,64,11.03,14,337.29,64,Safe
Seafood,26,6.51,14,311.34,26,Safe
Vegetables,21,9.64,11,496.8,21,Safe
Dairy,27,1.44,20,152.63,27,Safe
Fruits,86,9.41,6,43.54,86,Moderate Risk
Seafood,160,9.11,19,268.73,160,Safe
Bakery,45,1.24,25,288.89,45,Safe
Bakery,77,23.38,17,377.07,77,Safe
Meat,174,6.87,7,343.41,174,Moderate Risk
Meat,176,21.63,9,22.79,176,Safe
Vegetables,101,12.57,22,312.71,101,Safe
Dairy,135,4.05,27,107.65,135,High Risk
Meat,125,24.57,23,445.78,125,Safe
Vegetables,28,6.94,11,471.28,28,Safe
Bakery,140,20.82,6,437.31,140,Moderate Risk
Bakery,37,14.03,28,482.78,37,Safe
Dairy,188,14.1,10,343.36,188,Safe
Bakery,184,21.83,8,483.19,184,Safe
Dairy,195,6.68,2,165.61,195,High Risk
Vegetables,75,12.84,26,358.15,75,Safe
Fruits,128,10.13,16,142.18,128,Safe
Bakery,193,13.63,23,441.77,193,Safe
Vegetables,185,16.36,30,179.06,185,Safe
Meat,151,4.76,10,115.57,151,High Risk
Seafood,99,19.45,23,405.81,99,Safe
Seafood,200,11.13,9,72.86,200,Safe
Vegetables,144,20.28,7,57.5,144,Safe
Vegetables,67,5.24,2,268.25,67,High Risk
Vegetables,172,19.96,14,356.04,172,Safe
Bakery,91,8.36,27,299.37,91,Safe
Vegetables,172,16.75,17,194.46,172,Safe
Seafood,163,2.35,16,258.71,163,High Risk
Bakery,191,8.37,4,84.91,191,Moderate Risk
Bakery,80,12.41,28,292.17,80,Safe
Seafood,108,18.88,9,452.02,108,Safe
Fruits,167,6.39,12,494.87,167,Moderate Risk
Dairy,191,17.67,14,466.15,191,Safe
Fruits,68,17.59,4,25.21,68,Moderate Risk
Meat,192,23.18,5,359.51,192,Moderate Risk
Fruits,19,2.08,20,166.2,19,Safe
Seafood,16,23.09,27,66.56,16,Safe
Dairy,13,17.3,17,147.39,13,Safe
Seafood,96,13.65,15,469.51,96,Safe
Bakery,84,11.15,16,453.03,84,Safe
Vegetables,87,15.87,24,83.53,87,Safe
Bakery,84,13.41,18,371.32,84,Safe
Dairy,53,14.94,2,21.58,53,High Risk
Meat,71,11.12,8,454.45,71,Safe
Fruits,172,5.84,2,180.61,172,High Risk
Vegetables,8,15.74,24,376.06,8,Safe
Vegetables,171,1.9,28,133.1,171,High Risk
Vegetables,140,24.32,30,253.2,140,Safe
Meat,83,1.55,2,184.3,83,High Risk
Dairy,76,15.73,5,160.51,76,Moderate Risk
Fruits,188,18.5,6,338.59,188,Moderate Risk
Bakery,138,16.45,11,308.73,138,Safe
Dairy,97,24.95,4,210.49,97,Moderate Risk
Bakery,10,3.6,21,20.0,10,Safe
Vegetables,122,6.37,9,379.54,122,Moderate Risk
Bakery,197,20.5,24,10.64,197,Safe
Vegetables,67,5.42,30,161.74,67,Safe
Fruits,53,17.75,15,346.1,53,Safe
Meat,173,22.85,16,367.35,173,Safe
Meat,188,10.9,17,136.8,188,Safe
Vegetables,41,5.04,14,172.46,41,Safe
Bakery,40,5.69,16,44.0,40,Safe
Meat,174,10.43,9,272.78,174,Safe
Seafood,136,7.02,1,91.47,136,High Risk
Bakery,177,3.78,21,188.84,177,High Risk
Fruits,38,10.95,1,448.14,38,High Risk
Meat,29,22.02,17,16.97,29,Safe
Seafood,116,12.0,19,157.62,116,Safe
Seafood,50,16.31,29,45.09,50,Safe
Seafood,77,11.93,17,271.13,77,Safe
Seafood,53,22.4,2,100.85,53,High Risk
Fruits,47,7.37,9,37.92,47,Safe
Dairy,130,16.69,12,244.65,130,Safe
Bakery,68,20.29,22,30.5,68,Safe
Dairy,141,4.21,10,116.01,141,High Risk
Vegetables,153,12.63,8,65.35,153,Safe
Vegetables,32,24.41,29,286.49,32,Safe
Bakery,99,17.04,10,198.59,99,Safe
Bakery,95,14.05,1,299.42,95,High Risk
Seafood,196,10.22,2,331.26,196,High Risk
Meat,63,24.28,13,428.06,63,Safe
Bakery,79,13.11,25,15.93,79,Safe
Meat,77,23.19,13,444.8,77,Safe
Bakery,11,22.87,5,371.47,11,Moderate Risk
Dairy,58,16.38,5,122.77,58,Moderate Risk
Bakery,16,6.28,30,62.25,16,Safe
Meat,13,18.1,9,426.81,13,Safe
Meat,25,8.66,4,459.57,25,Moderate Risk
Meat,44,16.28,26,152.72,44,Safe
Vegetables,36,9.52,27,156.21,36,Safe
Dairy,187,12.98,18,481.6,187,Safe
Vegetables,164,24.33,18,106.12,164,Safe
Bakery,94,17.82,15,72.21,94,Safe
Dairy,178,6.24,22,274.65,178,Moderate Risk
Fruits,122,18.69,22,25.4,122,Safe
Fruits,6,8.68,16,29.95,6,Safe
Fruits,146,6.39,25,144.33,146,Moderate Risk
Dairy,122,9.91,23,407.17,122,Safe
Meat,120,24.58,8,394.5,120,Safe
Dairy,132,4.01,8,61.13,132,High Risk
Meat,141,5.46,26,487.33,141,Moderate Risk
Dairy,147,5.65,8,276.05,147,Moderate Risk
Dairy,137,20.38,29,305.25,137,Safe
Fruits,196,5.26,10,337.01,196,Moderate Risk
Vegetables,128,24.62,16,76.12,128,Safe
Fruits,27,5.65,15,42.33,27,Safe
Meat,67,13.48,8,258.31,67,Safe
Vegetables,113,10.17,22,383.6,113,Safe
Meat,170,23.64,21,73.9,170,Safe
Vegetables,16,7.8,7,128.34,16,Safe
Meat,159,6.59,23,398.31,159,Moderate Risk
Meat,9,2.97,6,244.09,9,Moderate Risk
Dairy,177,4.29,10,82.51,177,High Risk
Meat,22,6.55,5,339.7,22,Moderate Risk
Dairy,130,11.67,7,382.58,130,Safe
Vegetables,168,10.87,11,435.75,168,Safe
Meat,89,10.14,25,60.13,89,Safe
Bakery,158,22.17,8,267.28,158,Safe
Vegetables,125,10.35,5,281.18,125,Moderate Risk
Vegetables,139,15.51,6,39.84,139,Moderate Risk
Meat,82,22.16,10,238.25,82,Safe
Seafood,12,24.21,13,357.58,12,Safe
Bakery,104,15.75,2,237.23,104,High Risk
Dairy,181,19.62,1,86.6,181,High Risk
Vegetables,128,3.27,18,240.41,128,High Risk
Vegetables,35,4.11,17,319.98,35,Safe
Fruits,136,21.69,26,108.46,136,Safe
Meat,91,15.01,22,269.49,91,Safe
Fruits,104,7.46,2,102.24,104,High Risk
Seafood,180,10.9,30,132.62,180,Safe
Seafood,194,24.24,16,244.88,194,Safe
Dairy,154,1.28,21,227.23,154,High Risk
Vegetables,131,22.64,21,143.1,131,Safe
Fruits,40,7.68,1,434.09,40,High Risk
Dairy,200,15.21,30,435.75,200,Safe
Bakery,173,15.56,14,395.33,173,Safe
Seafood,74,21.08,14,444.05,74,Safe
Seafood,157,3.97,21,68.68,157,High Risk
Bakery,60,22.89,19,499.17,60,Safe
Bakery,31,12.15,24,65.13,31,Safe
Vegetables,67,3.0,29,401.83,67,Safe
Fruits,167,21.52,21,429.61,167,Safe
Seafood,52,14.46,19,401.92,52,Safe
Vegetables,183,18.07,12,121.41,183,Safe
Seafood,116,21.67,14,77.97,116,Safe
Bakery,149,5.14,3,68.58,149,Moderate Risk
Meat,194,23.05,3,261.2,194,Moderate Risk
Meat,131,19.39,3,345.69,131,Moderate Risk
Dairy,97,22.24,18,495.23,97,Safe
Fruits,130,6.43,3,321.35,130,Moderate Risk
Vegetables,148,2.81,14,73.33,148,High Risk
Bakery,103,6.06,26,414.47,103,Moderate Risk
Dairy,95,18.1,24,157.49,95,Safe
Meat,39,2.4,6,121.77,39,Moderate Risk
Meat,151,1.9,5,176.45,151,High Risk
Bakery,60,10.46,19,494.2,60,Safe
Fruits,145,23.81,19,481.58,145,Safe
Dairy,8,12.12,24,89.6,8,Safe
Bakery,85,9.38,14,124.13,85,Safe
Seafood,117,17.03,25,68.22,117,Safe
Bakery,91,24.75,26,371.04,91,Safe
Bakery,13,10.58,20,98.05,13,Safe
Bakery,123,5.31,14,473.62,123,Moderate Risk
Vegetables,138,5.85,24,397.26,138,Moderate Risk
Fruits,81,5.37,1,330.38,81,High Risk
Bakery,37,24.66,25,135.13,37,Safe
Vegetables,25,12.84,29,116.01,25,Safe
Dairy,181,22.97,16,171.72,181,Safe
Meat,105,19.43,22,359.98,105,Safe
Fruits,48,18.72,3,93.98,48,Moderate Risk
Fruits,33,9.8,10,82.56,33,Safe
Vegetables,50,16.67,17,465.2,50,Safe
Fruits,188,5.99,11,467.96,188,Moderate Risk
Bakery,82,20.0,16,288.92,82,Safe
Seafood,155,3.13,12,17.59,155,High Risk
Meat,121,3.71,10,11.47,121,High Risk
Seafood,147,5.47,3,236.96,147,Moderate Risk
Bakery,66,21.43,8,206.82,66,Safe
Meat,127,7.69,25,35.65,127,Moderate Risk
Seafood,136,16.73,12,69.51,136,Safe
Dairy,152,17.3,2,80.45,152,High Risk
Bakery,171,3.54,14,381.46,171,High Risk
Meat,105,15.08,22,479.63,105,Safe
Bakery,10,2.53,5,141.33,10,Moderate Risk
Seafood,49,18.79,2,158.66,49,High Risk
Seafood,81,3.87,7,352.56,81,Moderate Risk
Meat,46,23.46,16,485.1,46,Safe
Seafood,66,12.13,14,135.28,66,Safe
Bakery,195,11.75,29,405.81,195,Safe
Vegetables,38,12.04,14,15.7,38,Safe
Fruits,49,9.38,30,484.7,49,Safe
Bakery,5,24.88,23,419.52,5,Safe
Seafood,97,22.67,25,418.68,97,Safe
Dairy,107,24.61,10,207.45,107,Safe
Vegetables,106,21.55,23,58.45,106,Safe
Meat,134,21.27,25,282.62,134,Safe
Vegetables,104,16.02,13,33.86,104,Safe
Vegetables,48,16.38,18,31.05,48,Safe
Fruits,71,22.01,16,238.76,71,Safe
Seafood,19,13.88,10,376.0,19,Safe
Dairy,141,18.55,27,214.7,141,Safe
Dairy,84,22.54,20,139.88,84,Safe
Dairy,181,20.08,30,66.14,181,Safe
Dairy,122,1.81,21,484.78,122,High Risk
Fruits,108,17.39,11,264.35,108,Safe
Fruits,153,18.6,11,177.27,153,Safe
Dairy,172,23.24,3,114.12,172,Moderate Risk
Meat,12,23.96,1,101.14,12,High Risk
Bakery,67,2.76,12,117.3,67,Safe
Dairy,166,7.44,27,401.26,166,Moderate Risk
Vegetables,66,12.58,17,383.35,66,Safe
Vegetables,102,11.6,3,354.87,102,Moderate Risk
Meat,143,10.14,9,334.94,143,Safe
Fruits,176,13.85,2,252.28,176,High Risk
Vegetables,49,16.58,1,130.5,49,High Risk
Dairy,36,5.39,3,456.42,36,Moderate Risk
Fruits,173,4.16,9,22.25,173,High Risk
Dairy,79,14.63,29,131.38,79,Safe
Fruits,45,24.67,25,195.85,45,Safe
Fruits,116,8.75,9,303.94,116,Safe
Dairy,186,14.43,21,364.58,186,Safe
Meat,187,10.74,6,392.09,187,Moderate Risk
Dairy,123,14.0,8,152.83,123,Safe
Dairy,167,19.49,1,234.02,167,High Risk
Dairy,162,6.91,17,338.74,162,Moderate Risk
Meat,52,23.33,28,69.01,52,Safe
Meat,31,3.56,20,369.51,31,Safe
Fruits,56,8.78,23,487.08,56,Safe
Fruits,35,13.66,14,112.69,35,Safe
Dairy,200,3.54,16,116.56,200,High Risk
Fruits,96,5.62,1,388.93,96,High Risk
Fruits,188,21.29,23,23.24,188,Safe
Meat,56,18.28,25,86.86,56,Safe
Bakery,86,4.07,22,275.02,86,Moderate Risk
Dairy,124,21.74,20,181.29,124,Safe
Seafood,119,9.09,27,80.21,119,Safe
Vegetables,124,8.45,5,343.51,124,Moderate Risk
Dairy,45,19.75,20,231.64,45,Safe
Dairy,23,11.23,16,163.33,23,Safe
Bakery,46,24.09,27,492.88,46,Safe
Seafood,10,1.51,28,244.11,10,Safe
Fruits,24,1.76,23,98.34,24,Safe
Vegetables,26,10.19,5,108.7,26,Moderate Risk
Seafood,173,5.47,23,114.15,173,Moderate Risk
Dairy,172,15.58,21,61.01,172,Safe
Seafood,28,14.95,13,436.29,28,Safe
Vegetables,71,9.54,10,345.86,71,Safe
Dairy,42,22.73,24,195.46,42,Safe
Meat,149,10.14,6,273.06,149,Moderate Risk
Fruits,129,16.62,11,447.93,129,Safe
Fruits,125,3.78,3,29.39,125,High Risk
Bakery,130,20.12,15,119.84,130,Safe
Bakery,177,22.37,6,246.12,177,Moderate Risk
Vegetables,58,5.76,23,215.45,58,Safe
Seafood,49,3.0,14,82.64,49,Safe
Meat,197,6.52,24,241.05,197,Moderate Risk
Meat,196,16.73,2,92.31,196,High Risk
Meat,149,2.73,13,154.71,149,High Risk
Meat,58,24.5,4,313.98,58,Moderate Risk
Seafood,47,11.36,4,476.31,47,Moderate Risk
Vegetables,30,20.92,6,29.02,30,Moderate Risk
Dairy,126,5.62,8,354.34,126,Moderate Risk
Meat,41,17.01,24,11.89,41,Safe
Bakery,36,19.65,17,75.42,36,Safe
Meat,32,8.19,30,60.91,32,Safe
Dairy,151,2.25,10,461.3,151,High Risk
Meat,104,8.92,21,138.04,104,Safe
Vegetables,20,7.45,4,376.08,20,Moderate Risk
Bakery,10,15.69,10,89.21,10,Safe
Meat,21,22.18,2,272.14,21,High Risk
Bakery,84,19.39,15,431.66,84,Safe
Vegetables,87,14.9,19,400.22,87,Safe
Dairy,84,1.87,16,380.13,84,Moderate Risk
Fruits,179,4.63,12,219.1,179,High Risk
Dairy,104,18.45,11,120.11,104,Safe
Meat,63,2.9,16,473.9,63,Safe
Meat,105,23.18,21,381.66,105,Safe
Fruits,94,9.03,24,391.05,94,Safe
Seafood,21,1.85,11,163.85,21,Safe
Bakery,55,14.89,30,456.15,55,Safe
Meat,49,11.67,11,393.86,49,Safe
Fruits,88,20.66,19,295.89,88,Safe
Bakery,54,22.73,11,372.3,54,Safe
Dairy,152,9.94,30,285.47,152,Safe
Dairy,21,14.97,14,338.68,21,Safe
Fruits,76,1.62,8,396.2,76,Safe
Seafood,44,16.89,30,169.35,44,Safe
Dairy,55,19.86,25,337.94,55,Safe
Meat,34,16.11,21,148.46,34,Safe
Meat,38,3.42,15,236.17,38,Safe
Fruits,105,13.66,6,233.92,105,Moderate Risk
Bakery,76,14.22,16,26.71,76,Safe
Seafood,104,14.49,21,254.22,104,Safe
Dairy,78,23.19,29,499.2,78,Safe
Bakery,128,9.43,23,282.07,128,Safe
Dairy,51,11.94,27,252.61,51,Safe
Bakery,46,13.44,2,142.18,46,High Risk
Dairy,88,5.13,4,430.81,88,Moderate Risk
Fruits,33,12.11,16,424.84,33,Safe
Vegetables,8,18.66,28,457.13,8,Safe
Seafood,141,18.06,26,260.99,141,Safe
Meat,52,19.27,17,366.12,52,Safe
Fruits,6,16.62,3,319.08,6,Moderate Risk
Fruits,147,15.35,15,251.24,147,Safe
Seafood,195,21.69,6,464.95,195,Moderate Risk
Meat,85,8.24,6,281.25,85,Moderate Risk
Fruits,125,21.33,21,386.09,125,Safe
Dairy,156,15.95,9,77.53,156,Safe
Fruits,164,12.88,9,61.61,164,Safe
Fruits,23,8.72,16,464.84,23,Safe
Fruits,75,10.3,23,74.01,75,Safe
Dairy,191,6.53,2,416.95,191,High Risk
Dairy,179,15.57,14,168.19,179,Safe
Seafood,177,13.45,25,393.49,177,Safe
Dairy,66,15.49,15,112.52,66,Safe
Fruits,114,5.08,20,339.85,114,Moderate Risk
Dairy,111,19.87,2,299.77,111,High Risk
Vegetables,18,14.51,13,423.41,18,Safe
Meat,109,22.97,23,15.69,109,Safe
Vegetables,94,4.78,7,458.06,94,Moderate Risk
Dairy,191,11.98,30,393.65,191,Safe
Seafood,93,10.64,7,195.44,93,Safe
Dairy,120,11.21,11,166.49,120,Safe
Vegetables,125,8.75,6,221.83,125,Moderate Risk
Bakery,70,15.31,2,31.32,70,High Risk
Fruits,144,3.09,29,379.64,144,High Risk
Meat,139,8.93,29,487.66,139,Safe
Fruits,158,5.29,13,20.98,158,Moderate Risk
Bakery,104,6.52,27,450.19,104,Moderate Risk
Meat,89,4.87,29,26.98,89,Moderate Risk
Vegetables,200,13.5,12,48.25,200,Safe
Dairy,155,7.19,16,494.68,155,Moderate Risk
Fruits,46,18.99,30,367.25,46,Safe
Dairy,14,22.81,12,61.11,14,Safe
Meat,8,2.59,20,238.56,8,Safe
Fruits,190,3.66,9,137.43,190,High Risk
Vegetables,89,13.07,8,73.72,89,Safe
Fruits,86,7.2,27,308.29,86,Moderate Risk
Vegetables,69,4.21,5,494.05,69,Moderate Risk
Bakery,95,1.07,12,373.24,95,Moderate Risk
Bakery,152,20.61,13,110.95,152,Safe
Seafood,35,5.13,4,118.03,35,Moderate Risk
Vegetables,98,12.39,16,229.19,98,Safe
Seafood,9,2.35,1,187.68,9,High Risk
Bakery,199,3.47,1,267.49,199,High Risk
Vegetables,112,24.4,4,39.67,112,Moderate Risk
Fruits,46,15.21,6,118.83,46,Moderate Risk
Seafood,141,4.35,12,300.42,141,High Risk
Meat,58,21.16,5,51.12,58,Moderate Risk
Fruits,192,6.63,20,292.51,192,Moderate Risk
Fruits,62,21.81,3,427.73,62,Moderate Risk
Fruits,188,5.95,12,208.27,188,Moderate Risk
Dairy,111,19.1,29,156.8,111,Safe
Dairy,37,3.45,29,280.96,37,Safe
Fruits,96,16.64,7,392.34,96,Safe
Meat,14,6.87,25,409.4,14,Safe
Seafood,30,19.3,29,414.88,30,Safe
Dairy,144,2.69,19,59.71,144,High Risk
Vegetables,16,23.28,30,264.54,16,Safe
Dairy,155,23.36,5,360.22,155,Moderate Risk
Seafood,23,2.34,17,449.33,23,Safe
Vegetables,63,23.42,10,38.77,63,Safe
Fruits,9,5.13,12,229.08,9,Safe
Fruits,105,16.37,22,269.27,105,Safe
Bakery,129,21.04,7,155.66,129,Safe
Vegetables,55,2.82,6,36.88,55,Moderate Risk
Meat,74,3.03,18,54.9,74,Safe
Fruits,105,13.85,21,407.25,105,Safe
Dairy,56,13.57,9,192.88,56,Safe
Seafood,148,10.37,3,366.01,148,Moderate Risk
Vegetables,192,22.04,24,424.61,192,Safe
Bakery,191,14.7,24,92.55,191,Safe
Dairy,102,19.96,22,470.38,102,Safe
Meat,186,4.93,22,310.61,186,High Risk
Bakery,89,3.19,13,84.81,89,Moderate Risk
Dairy,90,6.22,30,424.95,90,Moderate Risk
Seafood,23,8.47,19,425.36,23,Safe
Vegetables,48,19.9,9,151.33,48,Safe
Vegetables,156,9.78,25,55.25,156,Safe
Vegetables,117,9.93,16,78.26,117,Safe
Bakery,80,8.1,17,14.07,80,Safe
Vegetables,77,15.61,8,402.99,77,Safe
Seafood,28,24.48,21,463.75,28,Safe
Seafood,39,19.45,7,317.44,39,Safe
Vegetables,133,18.66,22,379.87,133,Safe
Seafood,17,18.81,15,462.86,17,Safe
Seafood,146,16.65,25,461.07,146,Safe
Dairy,191,8.1,27,207.77,191,Safe
Bakery,191,10.76,6,180.69,191,Moderate Risk
Meat,68,23.62,8,106.51,68,Safe
Bakery,86,20.47,6,145.43,86,Moderate Risk
Dairy,143,17.32,26,195.94,143,Safe
Meat,135,4.51,18,410.27,135,High Risk
Seafood,145,18.41,14,80.46,145,Safe
Meat,65,18.96,2,152.14,65,High Risk
Seafood,67,24.52,1,392.89,67,High Risk
Meat,186,13.28,25,154.93,186,Safe
Meat,169,21.28,29,135.6,169,Safe
Meat,90,12.24,16,124.23,90,Safe
Seafood,75,3.06,23,483.59,75,Safe
Vegetables,189,14.52,5,478.53,189,Moderate Risk
Dairy,82,22.37,29,330.83,82,Safe
Dairy,41,6.29,12,174.47,41,Safe
Vegetables,196,5.55,25,313.59,196,Moderate Risk
Dairy,90,14.7,25,293.34,90,Safe
Dairy,176,6.5,29,289.51,176,Moderate Risk
Seafood,153,9.24,1,483.95,153,High Risk
Fruits,147,22.34,28,308.91,147,Safe
Bakery,84,13.86,6,393.12,84,Moderate Risk
Meat,140,12.68,2,272.35,140,High Risk
Vegetables,43,4.77,2,90.56,43,High Risk
Meat,166,4.78,22,332.2,166,High Risk
Vegetables,90,14.5,10,420.88,90,Safe
Bakery,94,5.62,29,451.53,94,Moderate Risk
Seafood,159,1.26,13,318.65,159,High Risk
Dairy,165,14.37,26,474.52,165,Safe
Vegetables,191,21.75,30,258.25,191,Safe
Seafood,11,2.41,9,315.03,11,Safe
Dairy,105,22.11,21,27.94,105,Safe
Meat,180,22.46,26,64.43,180,Safe
Meat,36,1.58,26,176.93,36,Safe
Dairy,62,8.48,16,60.09,62,Safe
Bakery,178,6.83,13,483.34,178,Moderate Risk
Dairy,56,17.15,10,497.51,56,Safe
Dairy,35,13.28,25,404.77,35,Safe
Dairy,90,16.42,10,159.15,90,Safe
Meat,186,4.53,30,41.77,186,High Risk
Dairy,111,24.01,17,277.66,111,Safe
Dairy,162,11.68,23,89.24,162,Safe
